Ligne précédente,Date,Heure
مادس ميكلسن: تكريمي بمراكش التفاتة رائعة تبرز إسهام السينما الاسكندنافية,25 نونبر 2023,11:33
المهرجان الدولي للفيلم مراكش 2023: افتتاح فعاليات الدورة ال20,24 نونبر 2023,21:17
المدير الفني للمهرجان الدولي للفيلم بمراكش: المهرجان يضطلع بدور بارز,24 نونبر 2023,14:52
مهرجان فيزا فور ميوزيك 2023 يحتفي بالموسيقى الحسانية والإفريقية,23 نونبر 2023,21:34
متحف الروافد -دار الباشا بمراكش يفتح أبوابه مجددا بعد أشغال,23 نونبر 2023,13:53
الصويرة على موعد مع الملتقى الأول للكتبيين,23 نونبر 2023,00:16
منتدى Africa Place Marketing : افتتاح الدورة الرابعة تحت شعار,22 نونبر 2023,15:53
المنسق العام للمهرجان الدولي للفيلم بمراكش: الدورة الـ20 تخصص حيزا,21 نونبر 2023,15:46
المهرجان الوطني للمسرح 2023: الإعلان عن العروض المنتقاة للدورة الثالثة,20 نونبر 2023,17:37
افتتاح الدورة ال12 لمهرجان العرائش الدولي لتلاقح الثقافات,19 نونبر 2023,15:54
التوقيع على 3 اتفاقيات تتعلق بالنهوض بالأنشطة الثقافية والفنية بمدينة,19 نونبر 2023,12:00
لقاء أدبي بطنجة يحتفي بالكاتب المغربي الاستثنائي محمد شكري,19 نونبر 2023,10:58
معرض صور تاريخية تخليدا للذكرى 68 للأعياد الثلاثة المجيدة: عيد,18 نونبر 2023,09:12
تقديم مشروع (طرق أندلسية بالرباط وسلا) للتعريف بالمعمار الأندلسي في,18 نونبر 2023,08:16
فيلم كذب أبيض لأسماء المدير يتوج بمهرجان ميد فيلم روما,17 نونبر 2023,21:01
الرباط: تنظيم معرض للصور التاريخية تخليدا للذكرى الـ 68 لعيد,17 نونبر 2023,14:44
وفد من محترفي الموسيقى بكيبيك يزور المغرب لتعزيز التبادل المهني,17 نونبر 2023,14:21
المهرجان الدولي للفيلم بمراكش 2023: مات ديلون ينضم لقائمة المدعوين,17 نونبر 2023,13:20
الدورة الخامسة لأسبوع السينما المغربية بأبيدجان,17 نونبر 2023,10:13
السيد بنسعيد: الاستراتيجية الحكومية تروم جعل الكتاب والنشر في قلب,16 نونبر 2023,13:29
جائزة مغرب الفروسية 2023: تنظيم الحفل السنوي لعدو النجوم بالرباط,16 نونبر 2023,12:31
وزير الثقافة يشرف على افتتاح الدورة الأولى للمعرض الدولي لكتاب,15 نونبر 2023,13:56
جائزة الملتقى للقصة القصيرة العربية: روائي مغربي ضمن القائمة الطويلة,15 نونبر 2023,10:35
الناشر المغربي عبد القادر الرتناني يغادر إلى دار البقاء,14 نونبر 2023,11:38
المهرجان الدولي لفيلم المرأة بسلا: تكريم نساء بصمن الفن السابع,14 نونبر 2023,10:57
الملتقى الدولي حول الطاقة والبيئة 2023:احتضان المنتدى بمراكش,13 نونبر 2023,13:19
الملتقى الدولي دار الضمانة للذكر والسماع بوزان من 16 الى,12 نونبر 2023,15:21
جائزة الشيخ حمد للترجمة 2023: مشاركة 38 دولة في دورتها,12 نونبر 2023,12:01
مهرجان دكار-غوري لموسيقى الجاز 2023: الخطوط الملكية المغربية الناقل والراعي,11 نونبر 2023,10:13
مغرب المستقبل، رؤية اليسار، محور مائدة مستديرة بطنجة,10 نونبر 2023,04:59
الكاتب المغربي، الطاهر بنجلون يقدم بباريس قاموس محب للمغرب,9 نونبر 2023,13:55
جان باتيست أندريا، الأدبي الفرنسي يفوز بجائزة غونكور2023,7 نونبر 2023,15:24
المهرجان الدولي للفيلم بمراكش 2023: برنامج المحادثات “حوار مع..” يستضيف,7 نونبر 2023,14:52
مهرجان طنجة للفيلم الدولي 2023: انعقاد الدورة ال12 شهر نونبر,7 نونبر 2023,13:19
المهرجان الدولي للفيلم بمراكش 2023: منح النجمة الذهبية للممثل الدنماركي,7 نونبر 2023,12:38
جائزة مجمع الملك سلمان العالمي للغة العربية: تكريم الفائزين بالدروة,6 نونبر 2023,10:36
المهرجان الدولي لآلة القانون 2023: انعقاد الدورة السادسة بالرباط,5 نونبر 2023,11:29
المهرجان الوطني للمسيرة الخضراء بالمحبس 2023: انطلاق فعاليات الدورة الثانية,4 نونبر 2023,22:45
تكريم أسماء ثقافية وإعلامية بارزة في دورة ملتقى الثقافة العربية,3 نونبر 2023,12:24
جائزة سرد الذهب: كاتبان مغربيان ضمن قائمتها القصيرة,3 نونبر 2023,12:05
المهرجان الدولي للفيلم بمراكش 2023: الكشف عن الاختيار الرسمي للأفلام,2 نونبر 2023,10:39
جائزة مجمع الملك سلمان العالمي للغة العربية 2023:أكاديمي مغربي ضمن,2 نونبر 2023,10:08
مهرجان الفيلم الوطني بطنجة يستمر في جلب اهتمام عشاق الفن,29 أكتوبر 2023,22:31
المهرجان الوطني للفيلم 2023: 56 فيلما يتنافسون على جوائز الدورة,28 أكتوبر 2023,12:24
المهرجان الوطني للفيلم 2023 بطنجة: افتتاح فعاليات الدورة الـ 23,27 أكتوبر 2023,23:11
وزير الشباب والثقافة يزور مغارة هرقل والمعهد الموسيقي أحمد لوكيلي,27 أكتوبر 2023,21:17
إطلاق أول نظام معلومات للتراث المادي المغربي,27 أكتوبر 2023,12:48
المهرجان الدولي للفيلم بمراكش 2023: الإعلان عن لجنة تحكيم الدورة,27 أكتوبر 2023,11:07
إصدار جديد للإعلامي المغربي عبد الصمد بنشريف يوثق حواراته مع,26 أكتوبر 2023,15:48
اليونسكو: إفريقيا بطلة الأزياء العالمية القادمة,26 أكتوبر 2023,15:26
المهرجان الوطني للمسرح بتطوان 2023: فتح باب الترشيح للمشاركة في,26 أكتوبر 2023,15:17
معرض علاياش عقلتي – الطفولة المغربية يفتح أبوابه بكل من,25 أكتوبر 2023,18:02
المركز السينمائي المغربي يمدد أجل تقديم الترشيحات لمسابقة الأفلام القصيرة,24 أكتوبر 2023,14:13
المهرجان الدولي للسينما والهجرة 2023: انعقاد الدورة 19 بأكادير,24 أكتوبر 2023,14:08
المهرجان المغاربي للفيلم: رفع الستار عن الدورة 12 بوجدة,22 أكتوبر 2023,14:50
معرض الفرس 2023 الجديدة : عناية كبيرة بصناعة سروج التبوريدة,22 أكتوبر 2023,10:58
المهرجان الدولي للتراث الإفريقي 2023: انعقاد النسخة الخامسة بسطات,21 أكتوبر 2023,20:02
افتتاح الدورة السادسة عشرة لمهرجان طنجة الدولي للمسرح الجامعي,21 أكتوبر 2023,11:39
مهرجان نواكشوط السينمائي الدولي: فيلم مغربي يفوز بجائزة لجنة التحكيم,20 أكتوبر 2023,10:30
توقيع اتفاق تعاون بين المغرب والمجر في مجال الإنتاج المشترك,19 أكتوبر 2023,14:08
أيام قرطاج السينمائية 2023 : مشاركة فيلمان مغربيان في المسابقات,19 أكتوبر 2023,12:41
المهرجان الوطني للفيلم 2023: الإعلان عن المكرمين خلال الدورة 23,19 أكتوبر 2023,12:05
مؤسسة المدى تكرم أفضل طلبة الفنون الجميلة,18 أكتوبر 2023,13:25
توقيع بروتوكول تعاون بين جمعية معرض الفرس والمؤسسة القطرية كتارا,17 أكتوبر 2023,23:59
سربة المقدم أسامة العسري تفوز بالجولة الأولى للجائزة الكبرى لصاحب,17 أكتوبر 2023,23:55
متحف Yves Saint Laurent بمراكش يشارك تجربته وخبرته مع نظيره,17 أكتوبر 2023,16:43
المعرض الدولي لكتاب الطفل 2023 الدار البيضاء: فتح باب التسجيل,17 أكتوبر 2023,14:06
الأديب المغربي بهاء الدين الطود في ذمة الله,17 أكتوبر 2023,14:01
مهرجان سماع مراكش للقاءات والموسيقى الصوفية 2023: تحديد موعد تنظيم,16 أكتوبر 2023,21:46
جائزة محمد زفزاف للقراءة 2023: تنظيم الدورة الأولى بالدار البيضاء,16 أكتوبر 2023,16:42
المغرب ضيف شرف الدورة الـ37 لمعرض التذوق Gourmets بمدريد,16 أكتوبر 2023,15:16
منظمة التعاون الإسلامي: داكار تستضيف الدورة الثانية عشرة للجنة الدائمة,16 أكتوبر 2023,10:05
فتح باب الترشيح للاستفادة من دعم الموسيقى والفنون الكوريغرافية لسنة,14 أكتوبر 2023,21:24
وزير الشباب والثقافة: المغرب يتوفر على كل المقومات ليصبح قاطرة,14 أكتوبر 2023,21:02
المهرجان الوطني للفيلم بطنجة: الكشف عن لجان تحكيم المسابقات الرسمية,14 أكتوبر 2023,15:45
جائزة كتارا للرواية العربية 2023: المغربيان بن لحسن أُوعبو و,13 أكتوبر 2023,19:39
مراكش.. وزير الشباب والثقافة يتفقد إعادة افتتاح المآثر التاريخية التي,9 أكتوبر 2023,23:33
المهرجان الدولي للفيلم بمراكش: الممثلة الأمريكية جيسيكا شاستين تترأس لجنة,9 أكتوبر 2023,10:43
عرض بفاس لفيلم “إمبروخو” احتفاء بالنسخة الثالثة من يوم السينما,7 أكتوبر 2023,13:28
مؤسسة المحافظة على التراث الثقافي لمدينة الرباط تتوج الأعمال المتميزة,7 أكتوبر 2023,12:16
ترميم ثلاث حفريات ديناصورات بالمغرب من طرف الولايات المتحدة,5 أكتوبر 2023,23:44
الشاعر المغربي نبيل منصر يفوز بجائزة الشعر العالمية فيرناندو دالميدا,2 أكتوبر 2023,12:02
